what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1416069094899
error,log,,,"CPU master group not set.",1416069094899
error,log,,,"Connected system ID hash not found on target at expected base address.",1416069094899
error,log,,,"Connected system timestamp not found on target at expected base address.",1416069094899
error,log,,,"SOPC design not set.",1416069094915
error,log,,,"CPU module not set.",1416069094915
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069094915
error,log,,,"CPU architecture type not set. ",1416069094915
error,log,,,"CPU master group not set.",1416069094915
error,log,,,"Connected system ID hash not found on target at expected base address.",1416069094915
error,log,,,"Connected system timestamp not found on target at expected base address.",1416069094915
error,log,,,"SOPC design not set.",1416069095024
error,log,,,"CPU module not set.",1416069095024
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069095024
error,log,,,"CPU architecture type not set. ",1416069095024
error,log,,,"CPU master group not set.",1416069095024
error,log,,,"SOPC design not set.",1416069095118
error,log,,,"CPU module not set.",1416069095118
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069095118
error,log,,,"CPU architecture type not set. ",1416069095118
error,log,,,"CPU master group not set.",1416069095118
error,log,,,"SOPC design not set.",1416069095118
error,log,,,"CPU module not set.",1416069095118
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069095118
error,log,,,"CPU architecture type not set. ",1416069095118
